2024-08-25 04:42:05 EvalCallBack metricdict_values([0.7544314048006262]); eval_time6s
2024-08-25 04:42:18 EvalCallBack metricdict_values([0.7573699214065176]); eval_time0s
2024-08-25 04:42:30 EvalCallBack metricdict_values([0.7593268253258587]); eval_time0s
2024-08-25 04:42:42 EvalCallBack metricdict_values([0.760890703686671]); eval_time0s
2024-08-25 04:42:55 EvalCallBack metricdict_values([0.7602626597636208]); eval_time0s
2024-08-25 04:43:07 EvalCallBack metricdict_values([0.761146224713005]); eval_time0s
2024-08-25 04:43:19 EvalCallBack metricdict_values([0.7596025094423449]); eval_time0s
2024-08-25 04:43:32 EvalCallBack metricdict_values([0.760184429408109]); eval_time0s
2024-08-25 04:43:44 EvalCallBack metricdict_values([0.7591846792990986]); eval_time0s
2024-08-25 04:43:56 EvalCallBack metricdict_values([0.7591135011923809]); eval_time0s
