Date,Mkt-RF,SMB,HML,RMW,CMA,RF,DGS10_Yield,S_t,VIX_Close,Unnamed: 0,ABT_Return,AOS_Return,MMM_Return
2020-01-02,0.0086,-0.0097,-0.0033,0.0024,-0.0022,6e-05,1.88,0.0759443913959311,12.47,1.0,,,
2020-01-03,-0.0067,0.003,0.0,-0.0013,-0.0011,6e-05,1.8,0.0903731256007235,14.02,2.0,-0.012265658144101858,-0.008831078143215538,-0.008648473929640686
2020-01-06,0.0036,-0.0021,-0.0055000000000000005,-0.0017000000000000001,-0.0026,6e-05,1.81,0.0688656479577905,13.85,5.0,0.005225541571565104,0.006315999260409146,0.0009524046735834164
2020-01-07,-0.0019,-0.0003,-0.0025,-0.0013,-0.0024,6e-05,1.83,0.1038423208262768,13.79,6.0,-0.005574936040442955,-0.006738322132871925,-0.004039267821927299
2020-01-08,0.004699999999999999,-0.0016,-0.0066,-0.0016,-0.0018,6e-05,1.87,0.086316436518542,13.45,7.0,0.0040679775107691826,-0.0014803353852653042,0.015229119738157262
2020-01-09,0.006500000000000001,-0.0070999999999999995,-0.0048,-0.0014000000000000002,0.0004,6e-05,1.85,0.0602879316361396,12.54,8.0,0.002664112814722367,-0.0044530405668398165,0.0031506019039824165
2020-01-10,-0.0034000000000000002,-0.0027,-0.0033,0.0004,-0.0008,6e-05,1.83,0.0792382976459128,12.56,9.0,-0.012572653792657387,0.01204178451824074,-0.004036554694004022
2020-01-13,0.0073,-0.001,-0.0008,0.0034000000000000002,0.0027,6e-05,1.85,0.0693553744635787,12.32,12.0,-0.002815289824859805,0.019135419153400734,0.0024903181792631252
2020-01-14,-0.0006,0.004699999999999999,-0.0018,-0.0034000000000000002,-0.0005,6e-05,1.82,0.0249602015584569,12.39,13.0,0.011495439882679256,-0.027147379284921985,0.002483884367826324
2020-01-15,0.0016,0.0027,-0.008100000000000001,-0.0009,-0.0017000000000000001,6e-05,1.79,0.027437127220707,12.42,14.0,0.018947036614393807,-0.013425674625134505,-0.008805030165361875
2020-01-16,0.0088,0.0052,-0.0012,0.0003,-0.001,6e-05,1.81,0.0493994107055031,12.32,15.0,0.010247298055061502,0.02164770877591591,0.006818428891915933
2020-01-17,0.0028000000000000004,-0.0063,-0.0013,0.0023,0.0,6e-05,1.84,0.0390982163029889,12.1,16.0,0.008122635085695338,-0.014805652901934118,0.0018765683773358795
2020-01-21,-0.0032,-0.0067,-0.0062,-0.0011,-0.0025,6e-05,1.78,0.0835065237655278,12.85,20.0,0.0081687760531352,0.001915756120720659,-0.010866721514283613
2020-01-22,0.0008,-0.0024,0.0001,-0.0027,0.0001,6e-05,1.77,0.0483876997967209,12.91,21.0,0.023460591047513305,-0.011120385525680497,-0.007609928440883373
2020-01-23,0.0007000000000000001,-0.0007000000000000001,-0.0014000000000000002,0.0028000000000000004,-0.0007000000000000001,6e-05,1.74,0.0529634673195649,12.98,22.0,-0.012377691078240965,0.004505681722013212,-0.0016303673855279839
2020-01-24,-0.0097,-0.005,-0.0029,0.0017000000000000001,-0.0003,6e-05,1.7,0.0218276169208921,14.56,23.0,-0.0036438738732355617,-0.02778574694232648,0.0023043883530872713
2020-01-27,-0.015600000000000001,0.0026,-0.0040999999999999995,-0.0053,0.0002,6e-05,1.61,0.0234317413547797,18.23,26.0,-0.009000695440424868,-0.03631023252190349,-0.014246514520702563
2020-01-28,0.0102,-0.0013,-0.0042,0.0016,-0.0005,6e-05,1.65,0.052675250689494,16.28,27.0,-0.0005579032218628744,0.037630150848697544,-0.058925340142076205
2020-01-29,-0.0011,-0.0043,-0.0098,0.0026,0.0009,6e-05,1.6,0.0318581939435593,16.39,28.0,-0.004477565647167909,-0.02628197443155876,-0.02185814930711069
2020-01-30,0.0034000000000000002,-0.006500000000000001,0.0069,-0.0045000000000000005,-0.0024,6e-05,1.57,0.0367467701654247,15.49,29.0,0.00022433160380322249,-0.01416852076337168,0.0031432752902777177
2020-01-31,-0.0174,-0.005,-0.0034999999999999996,-0.0045000000000000005,-0.0066,6e-05,1.51,0.0292561903360572,18.84,30.0,-0.022916285650591787,-0.017646272566341267,-0.023975980939783044
2020-02-03,0.0084,0.0036,-0.0067,-0.0069,-0.0042,6e-05,1.54,0.0091906090070888,17.97,33.0,-0.0009186382119025814,-0.00965030454059611,-0.013132496247508448
